Id,Universitas,Rank Universitas (Indonesia),Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses,Provinsi
"50,Institut Teknologi Bandung,141,Teknik Telekomunikasi,15,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
51,Universitas Airlangga,200,Akuntansi,10,,20000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
52,Universitas Airlangga,200,Manajemen,10,,20000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
53,Universitas Airlangga,200,Ekonomi Islam,5,,20000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
54,Universitas Airlangga,200,Ekonomi Pembangunan,5,,15000000,20000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
55,Universitas Airlangga,200,Kedokteran,50,,30000000,37500000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
56,Universitas Airlangga,200,Kedokteran Gigi,50,,27500000,34000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
57,Universitas Airlangga,200,Kedokteran Hewan,40,,15000000,15000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
58,Universitas Airlangga,200,Hukum,30,,25000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
59,Universitas Airlangga,200,Farmasi,10,,22000000,22000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
60,Universitas Airlangga,200,Psikologi,30,,20000000,20000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025,Jawa Timur
61,Universitas Diponegoro,180,Akuntansi,,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
62,Universitas Diponegoro,180,Manajemen,100,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
63,Universitas Diponegoro,180,Ekonomi,,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
64,Universitas Diponegoro,180,Ilmu Komunikasi,46,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
65,Universitas Diponegoro,180,Hukum,,,20000000,25000000,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
66,Universitas Diponegoro,180,Teknik Kimia,60,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
67,Universitas Diponegoro,180,Teknik Sipil,60,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
68,Universitas Diponegoro,180,Teknik Industri,60,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
69,Universitas Diponegoro,180,Kedokteran,,,70000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
70,Universitas Diponegoro,180,Ilmu Pemerintahan,45,,15700000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
71,Universitas Diponegoro,180,Administrasi Publik,,,17300000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
72,Universitas Diponegoro,180,Administrasi Bisnis,,,18000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
73,Universitas Diponegoro,180,Sastra Inggris,,,15000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025,Jawa tengah
74,Universitas Padjajaran,181,Akuntansi,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025,Jawa Barat
75,Universitas Padjajaran,181,Manajemen,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025,Jawa Barat
76,Universitas Padjajaran,181,Ekonomi Islam,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025,Jawa Barat
