Id,Universitas,Rank Universitas (Indonesia),Fakultas,Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses
52,Universitas Airlangga,200,Ekonomi dan Bisnis,Manajemen,10,,20000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
53,Universitas Airlangga,200,Ekonomi dan Bisnis,Ekonomi Islam,5,,20000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
54,Universitas Airlangga,200,Ekonomi dan Bisnis,Ekonomi Pembangunan,5,,15000000,20000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
55,Universitas Airlangga,200,Kedokteran,Kedokteran,50,,30000000,37500000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
56,Universitas Airlangga,200,Kedokteran Gigi,Kedokteran Gigi,50,,27500000,34000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
57,Universitas Airlangga,200,Kedokteran Hewan,Kedokteran Hewan,40,,15000000,15000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
58,Universitas Airlangga,200,Hukum,Hukum,30,,25000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
59,Universitas Airlangga,200,Farmasi,Farmasi,10,,22000000,22000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
60,Universitas Airlangga,200,Psikologi,Psikologi,30,,20000000,20000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
61,Universitas Diponegoro,180,Ekonomi dan Bisnis,Akuntansi,,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
62,Universitas Diponegoro,180,Ekonomi dan Bisnis,Manajemen,100,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
63,Universitas Diponegoro,180,Ekonomi dan Bisnis,Ekonomi,,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
64,Universitas Diponegoro,180,Ilmu Komunikasi,Ilmu Komunikasi,46,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
65,Universitas Diponegoro,180,Hukum,Hukum,,,20000000,25000000,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
66,Universitas Diponegoro,180,Teknik,Teknik Kimia,60,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
67,Universitas Diponegoro,180,Teknik,Teknik Sipil,60,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
